Date,Market,Crop,Price
2024-01-02,Mysore,Beans,49.65
2024-01-02,Mysore,Brinjal,32.99
2024-01-02,Mysore,Cauliflower,42.44
2024-01-02,Hubli,Tomato,34.8
2024-01-02,Hubli,Onion,27.14
2024-01-02,Hubli,Potato,29.57
2024-01-02,Hubli,Rice,50.65
2024-01-02,Hubli,Wheat,43.87
2024-01-02,Hubli,Maize,34.36
2024-01-02,Hubli,Carrot,42.55
2024-01-02,Hubli,Cabbage,21.61
2024-01-02,Hubli,Chilli,63.86
2024-01-02,Hubli,Beans,53.53
2024-01-02,Hubli,Brinjal,35.47
2024-01-02,Hubli,Cauliflower,41.82
2024-01-02,Mangalore,Tomato,40.92
2024-01-02,Mangalore,Onion,33.47
2024-01-02,Mangalore,Potato,31.96
2024-01-02,Mangalore,Rice,48.87
2024-01-02,Mangalore,Wheat,45.31
2024-01-02,Mangalore,Maize,32.8
2024-01-02,Mangalore,Carrot,44.98
2024-01-02,Mangalore,Cabbage,24.08
2024-01-02,Mangalore,Chilli,66.61
2024-01-02,Mangalore,Beans,55.67
2024-01-02,Mangalore,Brinjal,37.46
2024-01-02,Mangalore,Cauliflower,42.31
2024-01-02,Belagavi,Tomato,35.08
2024-01-02,Belagavi,Onion,33.47
2024-01-02,Belagavi,Potato,25.63
2024-01-02,Belagavi,Rice,52.98
2024-01-02,Belagavi,Wheat,44.49
2024-01-02,Belagavi,Maize,28.49
2024-01-02,Belagavi,Carrot,44.08
2024-01-02,Belagavi,Cabbage,26.77
2024-01-02,Belagavi,Chilli,70.84
2024-01-02,Belagavi,Beans,57.5
2024-01-02,Belagavi,Brinjal,38.88
2024-01-02,Belagavi,Cauliflower,39.42
2024-01-02,Ballari,Tomato,33.97
2024-01-02,Ballari,Onion,24.8
2024-01-02,Ballari,Potato,22.29
2024-01-02,Ballari,Rice,43.56
2024-01-02,Ballari,Wheat,40.12
2024-01-02,Ballari,Maize,32.97
2024-01-02,Ballari,Carrot,35.21
2024-01-02,Ballari,Cabbage,23.36
2024-01-02,Ballari,Chilli,63.73
2024-01-02,Ballari,Beans,50.47
2024-01-02,Ballari,Brinjal,36.74
2024-01-02,Ballari,Cauliflower,43.05
2024-01-02,Davanagere,Tomato,36.53
2024-01-02,Davanagere,Onion,30.83
2024-01-02,Davanagere,Potato,22.32
2024-01-02,Davanagere,Rice,47.46
2024-01-02,Davanagere,Wheat,46.84
2024-01-02,Davanagere,Maize,31.72
2024-01-02,Davanagere,Carrot,39.42
2024-01-02,Davanagere,Cabbage,25.07
2024-01-02,Davanagere,Chilli,62.54
2024-01-02,Davanagere,Beans,53.76
2024-01-02,Davanagere,Brinjal,35.11
2024-01-02,Davanagere,Cauliflower,43.91
2024-01-02,Shivamogga,Tomato,34.35
2024-01-02,Shivamogga,Onion,33.77
2024-01-02,Shivamogga,Potato,22.73
2024-01-02,Shivamogga,Rice,47.57
2024-01-02,Shivamogga,Wheat,44.85
2024-01-02,Shivamogga,Maize,33.49
2024-01-02,Shivamogga,Carrot,37.97
2024-01-02,Shivamogga,Cabbage,21.05
2024-01-02,Shivamogga,Chilli,70.21
2024-01-02,Shivamogga,Beans,52.06
2024-01-02,Shivamogga,Brinjal,36.84
2024-01-02,Shivamogga,Cauliflower,43.04
2024-01-02,Hassan,Tomato,35.44
2024-01-02,Hassan,Onion,29.76
2024-01-02,Hassan,Potato,25.27
2024-01-02,Hassan,Rice,52.56
2024-01-02,Hassan,Wheat,40.72
2024-01-02,Hassan,Maize,32.82
2024-01-02,Hassan,Carrot,37.0
2024-01-02,Hassan,Cabbage,22.25
2024-01-02,Hassan,Chilli,67.46
2024-01-02,Hassan,Beans,51.49
2024-01-02,Hassan,Brinjal,33.62
2024-01-02,Hassan,Cauliflower,43.1
2024-01-02,Tumakuru,Tomato,31.67
2024-01-02,Tumakuru,Onion,27.75
2024-01-02,Tumakuru,Potato,28.07
2024-01-02,Tumakuru,Rice,52.05
2024-01-02,Tumakuru,Wheat,38.67
2024-01-02,Tumakuru,Maize,27.79
2024-01-02,Tumakuru,Carrot,36.21
2024-01-02,Tumakuru,Cabbage,25.55
2024-01-02,Tumakuru,Chilli,68.13
2024-01-02,Tumakuru,Beans,55.12
2024-01-02,Tumakuru,Brinjal,33.04
2024-01-02,Tumakuru,Cauliflower,37.35
2024-01-02,Chikkamagaluru,Tomato,40.76
2024-01-02,Chikkamagaluru,Onion,32.71
2024-01-02,Chikkamagaluru,Potato,27.98
2024-01-02,Chikkamagaluru,Rice,54.98
2024-01-02,Chikkamagaluru,Wheat,46.32
2024-01-02,Chikkamagaluru,Maize,29.15
2024-01-02,Chikkamagaluru,Carrot,43.62
2024-01-02,Chikkamagaluru,Cabbage,23.48
2024-01-02,Chikkamagaluru,Chilli,69.39
2024-01-02,Chikkamagaluru,Beans,58.6
2024-01-02,Chikkamagaluru,Brinjal,34.16
2024-01-02,Chikkamagaluru,Cauliflower,40.01
2024-01-02,Kalaburagi,Tomato,29.94
2024-01-02,Kalaburagi,Onion,26.51
2024-01-02,Kalaburagi,Potato,20.26
2024-01-02,Kalaburagi,Rice,46.92
2024-01-02,Kalaburagi,Wheat,41.83
2024-01-02,Kalaburagi,Maize,25.71
2024-01-02,Kalaburagi,Carrot,37.16
2024-01-02,Kalaburagi,Cabbage,18.2
2024-01-02,Kalaburagi,Chilli,62.99
2024-01-02,Kalaburagi,Beans,53.33
2024-01-02,Kalaburagi,Brinjal,34.85
2024-01-02,Kalaburagi,Cauliflower,34.82
2024-01-03,Bangalore,Tomato,37.56
2024-01-03,Bangalore,Onion,29.39
2024-01-03,Bangalore,Potato,23.2
2024-01-03,Bangalore,Rice,53.34
2024-01-03,Bangalore,Wheat,46.27
2024-01-03,Bangalore,Maize,31.27
2024-01-03,Bangalore,Carrot,43.1
2024-01-03,Bangalore,Cabbage,25.59
2024-01-03,Bangalore,Chilli,67.59
2024-01-03,Bangalore,Beans,51.25
2024-01-03,Bangalore,Brinjal,33.77
2024-01-03,Bangalore,Cauliflower,46.24
2024-01-03,Mysore,Tomato,39.4
2024-01-03,Mysore,Onion,29.54
2024-01-03,Mysore,Potato,27.85
2024-01-03,Mysore,Rice,49.83
2024-01-03,Mysore,Wheat,40.36
2024-01-03,Mysore,Maize,28.19
2024-01-03,Mysore,Carrot,37.64
2024-01-03,Mysore,Cabbage,26.36
2024-01-03,Mysore,Chilli,68.54
2024-01-03,Mysore,Beans,56.06
2024-01-03,Mysore,Brinjal,38.36
2024-01-03,Mysore,Cauliflower,38.85
2024-01-03,Hubli,Tomato,35.17
2024-01-03,Hubli,Onion,26.99
2024-01-03,Hubli,Potato,28.41
2024-01-03,Hubli,Rice,53.25
2024-01-03,Hubli,Wheat,43.42
2024-01-03,Hubli,Maize,33.14
2024-01-03,Hubli,Carrot,37.41
2024-01-03,Hubli,Cabbage,27.61
2024-01-03,Hubli,Chilli,70.09
2024-01-03,Hubli,Beans,57.98
2024-01-03,Hubli,Brinjal,38.66
2024-01-03,Hubli,Cauliflower,45.22
2024-01-03,Mangalore,Tomato,35.37
2024-01-03,Mangalore,Onion,34.06
2024-01-03,Mangalore,Potato,26.83
2024-01-03,Mangalore,Rice,55.62
2024-01-03,Mangalore,Wheat,48.59
2024-01-03,Mangalore,Maize,37.08
2024-01-03,Mangalore,Carrot,44.66
2024-01-03,Mangalore,Cabbage,24.31
2024-01-03,Mangalore,Chilli,71.47
2024-01-03,Mangalore,Beans,53.04
2024-01-03,Mangalore,Brinjal,41.15
2024-01-03,Mangalore,Cauliflower,47.04
2024-01-03,Belagavi,Tomato,34.95
2024-01-03,Belagavi,Onion,32.7
2024-01-03,Belagavi,Potato,25.85
2024-01-03,Belagavi,Rice,48.61
2024-01-03,Belagavi,Wheat,46.53
2024-01-03,Belagavi,Maize,29.99
2024-01-03,Belagavi,Carrot,36.36
2024-01-03,Belagavi,Cabbage,21.72
2024-01-03,Belagavi,Chilli,65.8
2024-01-03,Belagavi,Beans,57.09
2024-01-03,Belagavi,Brinjal,39.91
2024-01-03,Belagavi,Cauliflower,40.41
2024-01-03,Ballari,Tomato,35.3
2024-01-03,Ballari,Onion,26.37
2024-01-03,Ballari,Potato,27.02
2024-01-03,Ballari,Rice,47.46
2024-01-03,Ballari,Wheat,44.69
2024-01-03,Ballari,Maize,26.09
2024-01-03,Ballari,Carrot,40.94
2024-01-03,Ballari,Cabbage,18.6
2024-01-03,Ballari,Chilli,67.87
2024-01-03,Ballari,Beans,49.3
2024-01-03,Ballari,Brinjal,30.04
2024-01-03,Ballari,Cauliflower,38.65
2024-01-03,Davanagere,Tomato,38.0
2024-01-03,Davanagere,Onion,27.68
2024-01-03,Davanagere,Potato,26.02
2024-01-03,Davanagere,Rice,49.26
2024-01-03,Davanagere,Wheat,42.25
2024-01-03,Davanagere,Maize,31.78
2024-01-03,Davanagere,Carrot,37.21
2024-01-03,Davanagere,Cabbage,24.84
2024-01-03,Davanagere,Chilli,62.19
2024-01-03,Davanagere,Beans,56.58
2024-01-03,Davanagere,Brinjal,35.48
2024-01-03,Davanagere,Cauliflower,42.93
2024-01-03,Shivamogga,Tomato,39.11
2024-01-03,Shivamogga,Onion,31.54
2024-01-03,Shivamogga,Potato,25.09
2024-01-03,Shivamogga,Rice,46.73
2024-01-03,Shivamogga,Wheat,45.49
2024-01-03,Shivamogga,Maize,30.81
2024-01-03,Shivamogga,Carrot,38.68
2024-01-03,Shivamogga,Cabbage,26.96
2024-01-03,Shivamogga,Chilli,68.93
2024-01-03,Shivamogga,Beans,52.57
2024-01-03,Shivamogga,Brinjal,34.65
2024-01-03,Shivamogga,Cauliflower,41.44
2024-01-03,Hassan,Tomato,35.39
2024-01-03,Hassan,Onion,27.54
2024-01-03,Hassan,Potato,22.19
2024-01-03,Hassan,Rice,48.54
2024-01-03,Hassan,Wheat,46.7
2024-01-03,Hassan,Maize,32.59
2024-01-03,Hassan,Carrot,42.39
2024-01-03,Hassan,Cabbage,24.1
2024-01-03,Hassan,Chilli,64.58
2024-01-03,Hassan,Beans,53.56
2024-01-03,Hassan,Brinjal,31.18
2024-01-03,Hassan,Cauliflower,39.47
2024-01-03,Tumakuru,Tomato,34.61
2024-01-03,Tumakuru,Onion,28.81
2024-01-03,Tumakuru,Potato,25.41
2024-01-03,Tumakuru,Rice,47.89
2024-01-03,Tumakuru,Wheat,41.71
2024-01-03,Tumakuru,Maize,27.88
2024-01-03,Tumakuru,Carrot,37.96
2024-01-03,Tumakuru,Cabbage,25.38
2024-01-03,Tumakuru,Chilli,67.54
2024-01-03,Tumakuru,Beans,49.53
2024-01-03,Tumakuru,Brinjal,30.85
2024-01-03,Tumakuru,Cauliflower,40.3
2024-01-03,Chikkamagaluru,Tomato,39.24
2024-01-03,Chikkamagaluru,Onion,29.85
2024-01-03,Chikkamagaluru,Potato,29.72
2024-01-03,Chikkamagaluru,Rice,53.18
2024-01-03,Chikkamagaluru,Wheat,46.55
2024-01-03,Chikkamagaluru,Maize,30.97
2024-01-03,Chikkamagaluru,Carrot,38.77
2024-01-03,Chikkamagaluru,Cabbage,21.37
2024-01-03,Chikkamagaluru,Chilli,66.13
2024-01-03,Chikkamagaluru,Beans,54.97
2024-01-03,Chikkamagaluru,Brinjal,39.97
2024-01-03,Chikkamagaluru,Cauliflower,39.75
2024-01-03,Kalaburagi,Tomato,32.49
2024-01-03,Kalaburagi,Onion,27.21
2024-01-03,Kalaburagi,Potato,19.73
2024-01-03,Kalaburagi,Rice,47.74
2024-01-03,Kalaburagi,Wheat,40.13
2024-01-03,Kalaburagi,Maize,26.12
2024-01-03,Kalaburagi,Carrot,37.42
2024-01-03,Kalaburagi,Cabbage,16.22
2024-01-03,Kalaburagi,Chilli,65.18
2024-01-03,Kalaburagi,Beans,52.33
2024-01-03,Kalaburagi,Brinjal,29.02
2024-01-03,Kalaburagi,Cauliflower,37.57
2024-01-04,Bangalore,Tomato,35.67
2024-01-04,Bangalore,Onion,34.92
2024-01-04,Bangalore,Potato,27.4
2024-01-04,Bangalore,Rice,47.66
2024-01-04,Bangalore,Wheat,43.25
2024-01-04,Bangalore,Maize,36.04
2024-01-04,Bangalore,Carrot,40.91
2024-01-04,Bangalore,Cabbage,27.67
2024-01-04,Bangalore,Chilli,69.6
2024-01-04,Bangalore,Beans,59.16
2024-01-04,Bangalore,Brinjal,38.02
2024-01-04,Bangalore,Cauliflower,46.86
2024-01-04,Mysore,Tomato,39.39
2024-01-04,Mysore,Onion,30.16
2024-01-04,Mysore,Potato,27.01
2024-01-04,Mysore,Rice,49.3
2024-01-04,Mysore,Wheat,45.9
2024-01-04,Mysore,Maize,31.64
2024-01-04,Mysore,Carrot,42.44
2024-01-04,Mysore,Cabbage,25.21
2024-01-04,Mysore,Chilli,66.06
2024-01-04,Mysore,Beans,51.33
2024-01-04,Mysore,Brinjal,33.24
2024-01-04,Mysore,Cauliflower,42.36
2024-01-04,Hubli,Tomato,39.38
2024-01-04,Hubli,Onion,30.43
2024-01-04,Hubli,Potato,27.27
2024-01-04,Hubli,Rice,48.45
2024-01-04,Hubli,Wheat,40.88
2024-01-04,Hubli,Maize,30.54
2024-01-04,Hubli,Carrot,38.43
2024-01-04,Hubli,Cabbage,22.82
2024-01-04,Hubli,Chilli,67.58
2024-01-04,Hubli,Beans,51.37
2024-01-04,Hubli,Brinjal,34.11
2024-01-04,Hubli,Cauliflower,43.81
2024-01-04,Mangalore,Tomato,40.91
2024-01-04,Mangalore,Onion,28.77
2024-01-04,Mangalore,Potato,27.52
2024-01-04,Mangalore,Rice,52.6
2024-01-04,Mangalore,Wheat,45.58
2024-01-04,Mangalore,Maize,31.91
2024-01-04,Mangalore,Carrot,41.62
2024-01-04,Mangalore,Cabbage,29.5
2024-01-04,Mangalore,Chilli,69.93
2024-01-04,Mangalore,Beans,57.82
2024-01-04,Mangalore,Brinjal,41.11
2024-01-04,Mangalore,Cauliflower,46.38
2024-01-04,Belagavi,Tomato,36.3
2024-01-04,Belagavi,Onion,26.31
2024-01-04,Belagavi,Potato,25.07
2024-01-04,Belagavi,Rice,52.29
2024-01-04,Belagavi,Wheat,47.09
2024-01-04,Belagavi,Maize,35.89
2024-01-04,Belagavi,Carrot,39.61
2024-01-04,Belagavi,Cabbage,26.24
2024-01-04,Belagavi,Chilli,67.63
2024-01-04,Belagavi,Beans,55.08
2024-01-04,Belagavi,Brinjal,34.02
2024-01-04,Belagavi,Cauliflower,40.01
2024-01-04,Ballari,Tomato,33.74
2024-01-04,Ballari,Onion,23.49
2024-01-04,Ballari,Potato,21.95
2024-01-04,Ballari,Rice,48.69
2024-01-04,Ballari,Wheat,40.49
2024-01-04,Ballari,Maize,26.58
2024-01-04,Ballari,Carrot,37.0
2024-01-04,Ballari,Cabbage,18.28
2024-01-04,Ballari,Chilli,65.24
2024-01-04,Ballari,Beans,47.47
2024-01-04,Ballari,Brinjal,32.41
2024-01-04,Ballari,Cauliflower,39.77
2024-01-04,Davanagere,Tomato,32.47
2024-01-04,Davanagere,Onion,30.4
2024-01-04,Davanagere,Potato,22.34
2024-01-04,Davanagere,Rice,48.95
2024-01-04,Davanagere,Wheat,39.66
2024-01-04,Davanagere,Maize,30.29
2024-01-04,Davanagere,Carrot,36.95
2024-01-04,Davanagere,Cabbage,21.87
2024-01-04,Davanagere,Chilli,68.35
2024-01-04,Davanagere,Beans,52.29
2024-01-04,Davanagere,Brinjal,37.27
2024-01-04,Davanagere,Cauliflower,43.91
2024-01-04,Shivamogga,Tomato,35.28
2024-01-04,Shivamogga,Onion,26.91
2024-01-04,Shivamogga,Potato,22.41
2024-01-04,Shivamogga,Rice,50.57
2024-01-04,Shivamogga,Wheat,48.26
2024-01-04,Shivamogga,Maize,31.06
2024-01-04,Shivamogga,Carrot,41.46
2024-01-04,Shivamogga,Cabbage,26.51
2024-01-04,Shivamogga,Chilli,68.47
2024-01-04,Shivamogga,Beans,56.29
2024-01-04,Shivamogga,Brinjal,39.85
2024-01-04,Shivamogga,Cauliflower,39.85
2024-01-04,Hassan,Tomato,32.42
2024-01-04,Hassan,Onion,26.48
2024-01-04,Hassan,Potato,22.27
2024-01-04,Hassan,Rice,50.61
2024-01-04,Hassan,Wheat,43.77
2024-01-04,Hassan,Maize,29.0
2024-01-04,Hassan,Carrot,40.85
2024-01-04,Hassan,Cabbage,25.39
2024-01-04,Hassan,Chilli,63.6
2024-01-04,Hassan,Beans,54.12
2024-01-04,Hassan,Brinjal,37.24
2024-01-04,Hassan,Cauliflower,38.17
2024-01-04,Tumakuru,Tomato,37.81
2024-01-04,Tumakuru,Onion,31.98
2024-01-04,Tumakuru,Potato,21.12
2024-01-04,Tumakuru,Rice,44.46
2024-01-04,Tumakuru,Wheat,40.75
2024-01-04,Tumakuru,Maize,31.68
2024-01-04,Tumakuru,Carrot,41.92
2024-01-04,Tumakuru,Cabbage,21.43
2024-01-04,Tumakuru,Chilli,66.98
2024-01-04,Tumakuru,Beans,48.87
2024-01-04,Tumakuru,Brinjal,35.78
2024-01-04,Tumakuru,Cauliflower,41.28
2024-01-04,Chikkamagaluru,Tomato,35.07
2024-01-04,Chikkamagaluru,Onion,33.44
2024-01-04,Chikkamagaluru,Potato,30.06
2024-01-04,Chikkamagaluru,Rice,52.06
2024-01-04,Chikkamagaluru,Wheat,42.23
2024-01-04,Chikkamagaluru,Maize,37.13
2024-01-04,Chikkamagaluru,Carrot,43.52
2024-01-04,Chikkamagaluru,Cabbage,24.04
2024-01-04,Chikkamagaluru,Chilli,67.69
2024-01-04,Chikkamagaluru,Beans,54.22
2024-01-04,Chikkamagaluru,Brinjal,37.31
2024-01-04,Chikkamagaluru,Cauliflower,41.99
2024-01-04,Kalaburagi,Tomato,36.05
2024-01-04,Kalaburagi,Onion,28.84
2024-01-04,Kalaburagi,Potato,19.1
2024-01-04,Kalaburagi,Rice,49.94
2024-01-04,Kalaburagi,Wheat,41.34
2024-01-04,Kalaburagi,Maize,30.89
2024-01-04,Kalaburagi,Carrot,37.92
2024-01-04,Kalaburagi,Cabbage,19.74
2024-01-04,Kalaburagi,Chilli,65.13
2024-01-04,Kalaburagi,Beans,53.98
2024-01-04,Kalaburagi,Brinjal,30.42
2024-01-04,Kalaburagi,Cauliflower,40.72
2024-01-05,Bangalore,Tomato,38.65
2024-01-05,Bangalore,Onion,31.21
2024-01-05,Bangalore,Potato,26.83
2024-01-05,Bangalore,Rice,53.19
2024-01-05,Bangalore,Wheat,43.49
2024-01-05,Bangalore,Maize,36.16
2024-01-05,Bangalore,Carrot,43.99
2024-01-05,Bangalore,Cabbage,22.04
2024-01-05,Bangalore,Chilli,71.4
2024-01-05,Bangalore,Beans,53.29
2024-01-05,Bangalore,Brinjal,37.06
2024-01-05,Bangalore,Cauliflower,44.23
2024-01-05,Mysore,Tomato,35.38
2024-01-05,Mysore,Onion,25.57
2024-01-05,Mysore,Potato,28.15
2024-01-05,Mysore,Rice,46.8
2024-01-05,Mysore,Wheat,41.04
2024-01-05,Mysore,Maize,33.73
2024-01-05,Mysore,Carrot,38.07
2024-01-05,Mysore,Cabbage,26.39
2024-01-05,Mysore,Chilli,67.95
2024-01-05,Mysore,Beans,51.55
2024-01-05,Mysore,Brinjal,31.43
2024-01-05,Mysore,Cauliflower,44.93
2024-01-05,Hubli,Tomato,34.03
2024-01-05,Hubli,Onion,32.1
2024-01-05,Hubli,Potato,26.25
2024-01-05,Hubli,Rice,52.41
2024-01-05,Hubli,Wheat,45.87
2024-01-05,Hubli,Maize,33.51
2024-01-05,Hubli,Carrot,40.27
2024-01-05,Hubli,Cabbage,26.69
2024-01-05,Hubli,Chilli,64.09
2024-01-05,Hubli,Beans,52.12
2024-01-05,Hubli,Brinjal,37.88
2024-01-05,Hubli,Cauliflower,40.79
2024-01-05,Mangalore,Tomato,40.0
2024-01-05,Mangalore,Onion,32.13
2024-01-05,Mangalore,Potato,28.59
2024-01-05,Mangalore,Rice,51.75
2024-01-05,Mangalore,Wheat,48.31
2024-01-05,Mangalore,Maize,32.99
2024-01-05,Mangalore,Carrot,43.97
2024-01-05,Mangalore,Cabbage,24.51
2024-01-05,Mangalore,Chilli,67.36
2024-01-05,Mangalore,Beans,53.31
2024-01-05,Mangalore,Brinjal,35.88
2024-01-05,Mangalore,Cauliflower,41.3
2024-01-05,Belagavi,Tomato,37.63
2024-01-05,Belagavi,Onion,32.44
2024-01-05,Belagavi,Potato,23.83
2024-01-05,Belagavi,Rice,48.08
2024-01-05,Belagavi,Wheat,44.22
2024-01-05,Belagavi,Maize,34.14
